cnpj,abep
VOX POPULI,1
GERP,1
FUTURA,1
DATAMETRICA,1
REAL TIME,1
"IPECIBOPE",1
IBRAPE,1
IDEIA,1
"42.256.162/0001-35",1
"08.048.264/0001-27",1
"10.594.644/0001-09",1
"06.023.655/0001-61",1
"22.400.349/0001-53",1
"66.923.178/0001-12",1
"47.725.266/0001-65",1
"13.475.743/0001-60",1
"04.971.177/0001-96",1
"03.486.951/0001-00",1
"16.665.862/0001-73",1
"37.129.012/0001-20",1
"04.843.093/0001-77",1
"22.642.565/0001-05",1
"05.487.165/0001-53",1
"12.866.449/0001-16",1
"42.532.542/0001-55",1
"07.630.546/0001-75",1
"59.052.225/0001-34",1
"04.789.757/0001-67",1
"05.014.547/0001-60",1
"60.249.448/0001-75",1
"28.500.023/0001-84",1
"49.237.968/0001-25",1
"02.203.834/0001-20",1
"19.927.270/0001-70",1
"08.320.245/0001-08",1
"24.441.759/0001-78",1
"04.859.573/000126",1
"01.914.090/0001-99",1
"12.040.336/0001-67",1
"00.565.157/0001-64",1
"56.689.393/0001-47",1
"13.358.105/0001-69",1
"03.574.507/0001-47",1
"32.208.779/0001-21",1
"03.016.943/0001-09",1
"08.726.649/0001-04",1
"16.832.830/0001-15",1
"01.096.445/0001-80",1
"59.514.463/0001-14",1
"10.732.142/0001-05",1
"10.595.124/0001-10",1
"58.110.081/0001-62",1
"57.290.249/0003-68",1
"54.267.093/0001-44",1
"09.376.087/0001-70",1
"15.625.058/0001-06",1
"02.617.190/0001-16",1
"40.420.875/0001-67",1
"11.371.137/0001-79",1
"20.018.384/0001-87",1
"17.159.578/0001-98",1
"41.938.632/0001-88",1
"17.895.646/0001-87",1
"01.083.311/0001-24",1
"09.409.427/0001-12",1
"01.795.798/0001-78",1
"05.693.481/0001-81",1
"00.945.330/0001-50",1
"09.470.150/0001-33",1
"39.655.587/0001-02",1
"11.849.437/0001-10",1
"02.533.315/0002.00",1
"06.270.812/0001-33",1
"04.270.642/0006-76",1
"09.271.490/0001-35",1
"29.310.400/0001-85",1
"42.196.550/0001-78",1
"73.200.396/0010-85",1
"83.203.646/0001-01",1
"19.090.489/0001-68",1
"04.679.605/0001-01",1
"26.970.769/0001-26",1
"11.621.273/0003-31",1
"03.809.708/0001-86",1
"52.340.749/0001-81",1
"48.167.947/0001-18",1
"27.140.982/0001-73",1
"35.432.965/0001-38",1
"51.814.973/0001-03",1
"05.197.806/0001-35",1
"01.163.221/0003-05",1
"33.000.159/0001-65",1
"61.195.046/0001-06",1
"65.089.443/0001-46",1
"01.362.726/0001-37",1
"20.386.357/0001-67",1
"73.988.917/0001-10",1
"08.992.405/0001-65",1
"40.808.743/0001-07",1
"14.614.894/0001-14",1
"06.315.150/0001-70",1
"45.676.257/0001-04",1
"00.088.031/0001-46",1
"05.979.234/0001-46",1
"22.445.600/0001-04",1
"11.835.975/0001-56",1
"61.857.306/0001-53",1
"09.471.067/0001-89",1
"02.678.167/0001-31",1
"02.070.887/0001-10",1
"18.294.208/0001-26",1
"50.677.103/0001-69",1
"26.523.371/0001-41",1
"11.535.517/0001-00",1
"14.235.206/0001-05",1
