"cnpj","sigla_uf","data_conre1"
"36433619000137","DF",2024-03-15
"02501289000158","DF",2024-03-15
"04483758000189","DF",2024-03-15
"06271706000174","DF",2024-03-15
"03303870000128","DF",2024-03-15
"29550908000150","DF",2024-03-15
"01096445000180","GO",2024-03-15
"11460605000181","GO",2024-03-15
"14538940000143","GO",2024-03-15
"20917622000196","GO",2024-03-15
"27747772000148","GO",2024-03-15
"37025897000118","GO",2024-03-15
"14853122000135","GO",2024-03-15
"20252668000133","GO",2024-03-15
"36241367000144","GO",2024-03-15
"29533384000190","GO",2024-03-15
"15015873000145","GO",2024-03-15
"13805175000118","GO",2024-03-15
"00095024000171","GO",2024-03-15
"13159802000190","GO",2024-03-15
"26757039000141","GO",2024-03-15
"11604837000166","GO",2024-03-15
"34683485000187","GO",2024-03-15
"31062676000133","GO",2024-03-15
"37293913000153","GO",2024-03-15
"02678167000131","GO",2024-03-15
"09078962000138","GO",2024-03-15
"45051954000161","GO",2024-03-15
"36348794000126","GO",2024-03-15
"44826961000125","GO",2024-03-15
"22745325000136","GO",2024-03-15
"15612495000187","GO",2024-03-15
"38310948000116","GO",2024-03-15
"19650861000143","GO",2024-03-15
"07185753000168","GO",2024-03-15
"29648898000190","GO",2024-03-15
"10713151000140","GO",2024-03-15
"00945330000150","GO",2024-03-15
"23963726000125","GO",2024-03-15
"35830530000141","GO",2024-03-15
"34535741000199","GO",2024-03-15
"05850850000100","GO",2024-03-15
"26673251000120","GO",2024-03-15
"36896958000150","GO",2024-03-15
"03989742000180","GO",2024-03-15
"06288268000157","GO",2024-03-15
"17121731000198","GO",2024-03-15
"06972255000100","GO",2024-03-15
"14606822000125","MT",2024-03-15
"20592128000107","MT",2024-03-15
"00081933000150","MT",2024-03-15
"15194353000147","MT",2024-03-15
"32844376000179","MT",2024-03-15
"05260271000108","MT",2024-03-15
"19442446000102","MT",2024-03-15
"12328346000100","MT",2024-03-15
"03973340000197","MT",2024-03-15
"15793324000100","MT",2024-03-15
"16704032000108","MT",2024-03-15
"03011668000122","MT",2024-03-15
"05099756000153","MT",2024-03-15
"15344143000198","MT",2024-03-15
"19799000000121","MT",2024-03-15
"11100635000187","MT",2024-03-15
"11400305000107","MT",2024-03-15
"05023065000176","MT",2024-03-15
"16945085000110","MT",2024-03-15
"06323902000145","MT",2024-03-15
"14489061000179","MT",2024-03-15
"14048123000107","MT",2024-03-15
"11108359000365","MT",2024-03-15
"10587479000168","MT",2024-03-15
"33661095000143","MT",2024-03-15
"10544202000158","MT",2024-03-15
"38653223000120","MT",2024-03-15
"10607783000120","MT",2024-03-15
"09242998000105","MT",2024-03-15
"12843917000137","MT",2024-03-15
"04362689000155","MS",2024-03-15
"10599874000160","MS",2024-03-15
"36781946000180","MS",2024-03-15
"03683644000110","MS",2024-03-15
"06270812000133","MS",2024-03-15
"26726991000188","MS",2024-03-15
"36710707000139","MS",2024-03-15
"14255299000130","MS",2024-03-15
"13102873000157","MS",2024-03-15
"10383383000188","MS",2024-03-15
"15514430000107","MS",2024-03-15
"06026300000126","MS",2024-03-15
"35904790000114","MS",2024-03-15
"14888537000144","TO",2024-03-15
"24357977000129","TO",2024-03-15
"10501739000130","TO",2024-03-15
"12188752000107","TO",2024-03-15
"03084715000168","TO",2024-03-15
"09597283000175","TO",2024-03-15
"25158765000185","TO",2024-03-15
"86951993000100","TO",2024-03-15
"25197745000113","TO",2024-03-15
"25158052000111","TO",2024-03-15
"13306192000100","TO",2024-03-15
"17590594000130","TO",2024-03-15
"24428494000178","TO",2024-03-15
"29669927000109","TO",2024-03-15
"28053655000147","TO",2024-03-15
"36189437000162","TO",2024-03-15
"07385910000189","TO",2024-03-15
"33640228000103","TO",2024-03-15
"TENDENCIAMS","MS",Manual
